#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
8.9%	446000	-107961.00030925847	299.6820551442106	559
8.9%	447000	-107904.29734062031	303.9709661628684	559
9.0%	448000	-107906.32390072639	293.42082186649185	559
9.0%	449000	-107654.51812833175	294.09884462234	559
9.0%	450000	-107864.29099982674	304.59880287607604	559
9.0%	451000	-108055.230303291	296.28740264542364	559
9.0%	452000	-107881.25066855294	302.1216103219662	559
9.1%	453000	-107467.78693063022	295.9342576095824	559
9.1%	454000	-107662.1680945002	305.18569932430796	559
9.1%	455000	-107476.01129496633	299.28397823730137	559
9.1%	456000	-107566.75956458598	306.3010400400413	559
9.1%	457000	-107812.74483364075	299.5072313751351	559
9.2%	458000	-108117.41820546123	298.12224854795727	559
9.2%	459000	-108346.55540404329	304.64864845734417	559
9.2%	460000	-107949.96527859289	296.0170154734752	559
9.2%	461000	-108245.73407438467	304.4278296267052	559
9.2%	462000	-108047.83739467035	299.43510414290415	559
9.3%	463000	-107948.59808576829	301.59304952964567	559
9.3%	464000	-107478.07836715016	299.3458676723497	559
9.3%	465000	-107437.00467914902	301.66414694724125	559
9.3%	466000	-107457.95915477513	299.9959533697442	559
9.3%	467000	-107882.27241470339	308.49621826671034	559
9.4%	468000	-108142.78694409807	298.0392767945857	559
9.4%	469000	-107761.75494908309	298.9151141432737	559
9.4%	470000	-108061.40552163823	300.5121943049757	559
9.4%	471000	-107935.34072465706	293.0557812586925	559
9.4%	472000	-108263.88251680904	295.2634015081449	559
9.5%	473000	-107797.11235549417	297.90012213560806	559
9.5%	474000	-107925.7283391552	296.9444928725589	559
9.5%	475000	-108213.42134986282	300.56827994462066	559
9.5%	476000	-108246.08552607684	296.1326940561959	559
9.5%	477000	-108197.77315147128	299.3764115834093	559
9.6%	478000	-107482.57795371488	304.87036398064816	559
9.6%	479000	-107486.94566727174	299.74820975700146	559
9.6%	480000	-107835.49669858068	307.11470860571694	559
9.6%	481000	-107838.25695388112	296.89042955408826	559
9.6%	482000	-108056.22972340742	293.7844361090807	559
9.7%	483000	-107755.54401876079	299.0325544496035	559
9.7%	484000	-107445.8390238476	300.5429194326649	559
9.7%	485000	-107801.52224663878	301.90800185387064	559
9.7%	486000	-107874.02926458628	298.9915365428193	559
9.7%	487000	-107708.50861161528	297.39996608794064	559
9.8%	488000	-108120.79695605277	298.4958721918006	559
9.8%	489000	-107774.17291765683	294.2115067646788	559
9.8%	490000	-108538.48122205352	302.2172253477836	559
9.8%	491000	-107740.8103434476	300.42942577144186	559
9.8%	492000	-107547.83455441426	300.50877767327387	559
9.9%	493000	-107436.88717350224	294.6948545803838	559
9.9%	494000	-107937.2700342976	297.3023101352572	559
9.9%	495000	-108151.22553703142	297.9413591293592	559
9.9%	496000	-108179.8397810699	303.5233947778223	559
9.9%	497000	-108242.20113422628	298.4285814019284	559
10.0%	498000	-108195.20112486742	300.3633045324832	559
10.0%	499000	-107921.96226436342	299.39987627662055	559
10.0%	500000	-107799.43638001662	302.6340754932248	559
10.0%	501000	-107930.97027156339	304.8110850268734	559
10.0%	502000	-108174.83219881286	295.7532982081114	559
10.1%	503000	-107874.56466679508	295.72188460742336	559
10.1%	504000	-108498.46536529483	299.3660595330823	559
10.1%	505000	-108037.4979393757	302.9308032466562	559
10.1%	506000	-107959.54405811173	301.203652238102	559
10.1%	507000	-107285.12442819006	299.7594889528854	559
10.2%	508000	-107632.99325191719	295.9364939591141	559
10.2%	509000	-107932.3316868965	300.9049120492183	559
10.2%	510000	-107908.07875712775	299.7625355472365	559
