#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
5.4%	268000	-107960.7651689006	303.28511321640417	639
5.4%	269000	-107810.04907900514	298.3645841343493	639
5.4%	270000	-108292.94273322425	297.2150902597745	639
5.4%	271000	-108277.45226563234	297.9958963829174	639
5.4%	272000	-107700.27669717395	294.4154327712409	639
5.5%	273000	-107420.40129071567	297.5752179823126	639
5.5%	274000	-108306.75582765485	301.76978909207173	639
5.5%	275000	-108099.9934725985	310.1218861856398	639
5.5%	276000	-107886.21962704253	303.9194044572194	638
5.5%	277000	-108180.06664613867	301.1690156533206	638
5.6%	278000	-107969.94117416465	301.740540812874	638
5.6%	279000	-107884.55632598256	306.0021968072653	638
5.6%	280000	-107646.80068168393	303.24510329406536	638
5.6%	281000	-107760.65945263766	297.7644373063843	638
5.6%	282000	-107479.18729442218	298.1324728534261	638
5.7%	283000	-108487.76586589846	297.7396125836744	638
5.7%	284000	-107718.33700469765	298.0030320337702	638
5.7%	285000	-107730.70657191682	302.8992756932664	637
5.7%	286000	-107772.31205425295	300.08922062824865	637
5.7%	287000	-107787.68734766869	295.3731835367643	637
5.8%	288000	-107708.10940313386	299.64410604151226	637
5.8%	289000	-107907.13731797761	302.8584346793599	637
5.8%	290000	-107994.1672731184	300.57271704345555	637
5.8%	291000	-108179.97186037106	298.1195780383687	637
5.8%	292000	-107677.68643992301	301.66317284917716	637
5.9%	293000	-107917.32200546446	304.34556523606295	637
5.9%	294000	-108003.32752989465	298.94557287157187	637
5.9%	295000	-107794.86431322526	298.54341575083384	637
5.9%	296000	-107781.32651678496	295.16462880135197	637
5.9%	297000	-107577.92283711629	295.6101248160435	637
6.0%	298000	-107932.2666557522	304.08513736952074	637
6.0%	299000	-108304.15468052076	306.87812379099927	636
6.0%	300000	-108161.96687953989	296.48795372403686	636
6.0%	301000	-107540.95614008605	296.23251557039356	636
6.0%	302000	-107205.44527659053	299.1078184212922	636
6.1%	303000	-107566.76969932881	297.5652583078243	636
6.1%	304000	-108180.78054141905	307.1170759393456	636
6.1%	305000	-107954.91640862986	302.6330830556563	636
6.1%	306000	-107590.33212714246	301.19007555651797	636
6.1%	307000	-108124.97895753337	303.4031806843566	636
6.2%	308000	-107850.4309371775	295.37778678485864	636
6.2%	309000	-107893.5363206272	303.6554139646966	636
6.2%	310000	-107904.39446417056	306.5451126691831	636
6.2%	311000	-107668.99778953334	304.6176996128237	636
6.2%	312000	-107937.81186115742	299.7387737495983	635
6.3%	313000	-107534.33459266089	306.2549587677502	635
6.3%	314000	-107763.92355574528	302.86049465631885	635
6.3%	315000	-108270.59711913508	302.6727500651726	635
6.3%	316000	-107857.59010782768	297.75866698206397	635
6.3%	317000	-107555.1284530412	297.3828490055104	635
6.4%	318000	-107611.34057082096	298.8221732878596	635
6.4%	319000	-107654.66719007841	300.73493776306833	635
6.4%	320000	-107518.5558986864	304.27789779638476	635
6.4%	321000	-107768.198311975	299.645129706742	635
6.4%	322000	-107927.34363269014	298.2215581427988	635
6.5%	323000	-108031.62891122978	300.46688571061037	635
6.5%	324000	-107759.21218603733	301.71738789339014	635
6.5%	325000	-107857.57133653434	302.42144009175365	634
6.5%	326000	-108286.46980818221	297.8537660875323	634
6.5%	327000	-107837.6311573009	299.63668652646254	634
6.6%	328000	-107923.58823429234	303.7273344340306	634
6.6%	329000	-107985.66366177169	301.31513430071493	634
6.6%	330000	-108129.56198340794	294.4952766607668	634
6.6%	331000	-107510.22170997923	302.65175779812813	634
6.6%	332000	-107816.97603667271	302.2355339736413	634
6.7%	333000	-107662.44758617086	303.49750881578245	634
6.7%	334000	-107227.14386492618	295.3719424383845	634
6.7%	335000	-107910.94685034011	304.1510298471804	634
6.7%	336000	-108228.34468629817	304.05069845587343	634
6.7%	337000	-107911.18048608745	294.2720840340861	634
6.8%	338000	-108344.57532930188	294.98686669835587	634
6.8%	339000	-107742.88687291439	305.9478224994371	633
6.8%	340000	-108026.84785702918	303.64757357983996	633
6.8%	341000	-107662.80794382305	302.8120423918264	633
6.8%	342000	-107627.26319230418	298.4679935145239	633
6.9%	343000	-107793.44444460887	302.4111169628244	633
6.9%	344000	-107462.00684301974	304.87334369306046	633
6.9%	345000	-107604.15112603083	306.21402554055385	633
6.9%	346000	-108206.8752876895	296.05552000121537	633
6.9%	347000	-108344.10140830069	298.53461682672	633
7.0%	348000	-107770.25029700436	303.2929876666515	633
7.0%	349000	-107577.07461830415	304.40462106894853	633
7.0%	350000	-107526.83281034674	298.03921246862825	633
7.0%	351000	-107557.66871691449	302.5883145624984	633
7.0%	352000	-107704.16573918867	308.05382785279147	632
7.1%	353000	-107996.29512319318	296.47794913555026	632
7.1%	354000	-108080.30926869251	300.1617204099669	632
7.1%	355000	-108231.73107787129	296.88207762522933	632
7.1%	356000	-108449.27679411788	302.40624715643503	632
7.1%	357000	-107598.00091255177	306.4277991659711	632
7.2%	358000	-107894.64362456533	300.03060347141883	632
7.2%	359000	-107978.72372095543	299.89853041810227	632
7.2%	360000	-107972.05897520855	296.3026513773685	632
7.2%	361000	-108495.03426522156	289.67287925921204	632
7.2%	362000	-108239.79750750028	295.8491417268808	632
7.3%	363000	-108095.1129371631	298.7106770417859	632
7.3%	364000	-108344.29480902082	298.3472867655346	632
7.3%	365000	-107965.2657704691	303.10543921285074	632
7.3%	366000	-107624.2099602744	300.92863501687276	632
7.3%	367000	-107976.0689107757	304.00922619288417	632
7.4%	368000	-107997.30878507136	299.49227116873675	632
7.4%	369000	-108167.47433042456	299.66447656720726	632
7.4%	370000	-107737.3317444236	302.7683994822428	632
7.4%	371000	-108327.71448947117	306.01041821526917	631
7.4%	372000	-107460.53832871187	304.6995942854306	631
7.5%	373000	-107884.81260404899	299.47645982727005	631
7.5%	374000	-107603.75503321271	301.71609436853225	631
7.5%	375000	-107451.17783365771	302.4555980931626	631
7.5%	376000	-108026.58987309062	302.40097003654006	631
7.5%	377000	-108102.48845950211	298.61219922053624	631
7.6%	378000	-108073.11658363673	294.3998506706142	631
7.6%	379000	-107899.74001775123	296.7709022911173	631
7.6%	380000	-108135.0077775896	294.7355518047726	631
7.6%	381000	-108177.86267889966	296.733658795306	631
7.6%	382000	-107653.98705369141	301.46473168792176	631
7.7%	383000	-107777.46969105629	297.78261971357324	631
7.7%	384000	-108069.99600165966	301.0441464376466	631
